"2019-04-26,08:49:00",0.05946666666666667,0.028666666666666667,0,1,1
"2019-04-26,08:50:00",0.0,0.0,0,0,0
"2019-04-26,08:51:00",0.0,0.0,0,0,0
"2019-04-26,08:52:00",0.2352,0.14026666666666668,0,4,5
"2019-04-26,08:53:00",0.12053333333333334,0.0504,0,4,4
"2019-04-26,08:54:00",0.0,0.0112,0,0,0
"2019-04-26,08:55:00",0.43146666666666667,0.0,0,3,3
"2019-04-26,08:56:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,08:57:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,08:58:00",0.11786666666666666,0.05973333333333333,0,3,3
"2019-04-26,08:59:00",0.0061333333333333335,0.015066666666666667,0,1,1
"2019-04-26,09:00:00",0.05946666666666667,0.0272,0,1,1
"2019-04-26,09:01:00",0.12773333333333334,0.05146666666666667,0,3,3
"2019-04-26,09:02:00",0.06133333333333333,0.0784,0,2,4
"2019-04-26,09:03:00",0.18,0.0584,0,3,4
"2019-04-26,09:04:00",0.44133333333333336,0.0,0,3,3
"2019-04-26,09:05:00",0.034133333333333335,0.029066666666666668,0,2,2
"2019-04-26,09:06:00",0.0,0.0,0,0,0
"2019-04-26,09:07:00",0.0,0.0,0,0,0
"2019-04-26,09:08:00",0.1512,0.0496,0,2,3
"2019-04-26,09:09:00",0.05946666666666667,0.028666666666666667,0,1,1
"2019-04-26,09:10:00",0.5173333333333333,0.029066666666666668,0,3,3
"2019-04-26,09:11:00",0.18906666666666666,0.0808,0,2,3
"2019-04-26,09:12:00",0.0264,0.0224,0,2,3
"2019-04-26,09:13:00",0.38133333333333336,0.0584,0,3,4
"2019-04-26,09:14:00",0.30933333333333335,0.042666666666666665,0,3,4
"2019-04-26,09:15:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:16:00",0.05946666666666667,0.0272,0,1,1
"2019-04-26,09:17:00",11.980266666666667,1.3622666666666667,0,3,4
"2019-04-26,09:18:00",0.09173333333333333,0.036,0,2,2
"2019-04-26,09:19:00",0.0936,0.046533333333333336,0,2,3
"2019-04-26,09:20:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:21:00",0.1368,0.056,0,2,2
"2019-04-26,09:22:00",0.0264,0.0448,0,2,3
"2019-04-26,09:23:00",0.5672,0.040266666666666666,0,5,5
"2019-04-26,09:24:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:25:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:26:00",0.0656,0.0272,0,1,2
"2019-04-26,09:27:00",0.0,0.0136,0,0,0
"2019-04-26,09:28:00",0.15813333333333332,0.0664,0,4,5
"2019-04-26,09:29:00",0.0,0.015066666666666667,0,0,0
"2019-04-26,09:30:00",0.108,0.056,0,2,2
"2019-04-26,09:31:00",0.0288,0.0224,0,2,2
"2019-04-26,09:32:00",0.27626666666666666,0.040266666666666666,0,3,4
"2019-04-26,09:33:00",0.30746666666666667,0.0224,0,3,3
"2019-04-26,09:34:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:35:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:36:00",0.0656,0.0272,0,1,2
"2019-04-26,09:37:00",0.034133333333333335,0.03626666666666667,0,2,2
"2019-04-26,09:38:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,09:39:00",0.0,0.015066666666666667,0,0,0
"2019-04-26,09:40:00",0.1952,0.0808,0,2,4
"2019-04-26,09:41:00",0.26426666666666665,0.058666666666666666,0,4,4
"2019-04-26,09:42:00",0.30773333333333336,0.0592,0,4,6
"2019-04-26,09:43:00",0.1512,0.036,0,2,3
"2019-04-26,09:44:00",0.0,0.0,0,0,0
"2019-04-26,09:45:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,09:46:00",0.108,0.07866666666666666,0,3,4
"2019-04-26,09:47:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,09:48:00",12.130133333333333,1.3044,0,4,6
"2019-04-26,09:49:00",0.0864,0.026266666666666667,0,2,2
"2019-04-26,09:50:00",0.1512,0.10986666666666667,0,3,4
"2019-04-26,09:51:00",0.2850666666666667,0.0136,0,2,3
"2019-04-26,09:52:00",0.22773333333333334,0.0112,0,2,3
"2019-04-26,09:53:00",0.09173333333333333,0.0224,0,2,2
"2019-04-26,09:54:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,09:55:00",0.0936,0.042666666666666665,0,2,3
"2019-04-26,09:56:00",0.08,0.0496,0,2,4
"2019-04-26,09:57:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,09:58:00",0.11786666666666666,0.05973333333333333,0,3,3
